DATE,PCU721110721110
2003-12-01,100.0
2004-01-01,101.2
2004-02-01,102.3
2004-03-01,102.9
2004-04-01,103.4
2004-05-01,102.4
2004-06-01,103.5
2004-07-01,105.1
2004-08-01,105.1
2004-09-01,105.2
2004-10-01,105.2
2004-11-01,103.5
2004-12-01,102.9
2005-01-01,104.4
2005-02-01,107.2
2005-03-01,108.2
2005-04-01,109.1
2005-05-01,109.4
2005-06-01,110.8
2005-07-01,112.4
2005-08-01,112.8
2005-09-01,112.8
2005-10-01,111.3
2005-11-01,111.0
2005-12-01,110.5
2006-01-01,111.4
2006-02-01,111.2
2006-03-01,111.5
2006-04-01,112.6
2006-05-01,113.3
2006-06-01,114.5
2006-07-01,116.1
2006-08-01,116.3
2006-09-01,115.6
2006-10-01,116.0
2006-11-01,115.5
2006-12-01,115.0
2007-01-01,115.4
2007-02-01,115.2
2007-03-01,115.8
2007-04-01,117.2
2007-05-01,117.8
2007-06-01,120.2
2007-07-01,124.2
2007-08-01,123.9
2007-09-01,122.4
2007-10-01,122.4
2007-11-01,120.8
2007-12-01,122.3
2008-01-01,122.9
2008-02-01,122.9
2008-03-01,122.8
2008-04-01,123.4
2008-05-01,122.6
2008-06-01,125.6
2008-07-01,129.1
2008-08-01,129.5
2008-09-01,124.7
2008-10-01,122.9
2008-11-01,122.8
2008-12-01,121.3
2009-01-01,119.9
2009-02-01,118.9
2009-03-01,120.2
2009-04-01,120.3
2009-05-01,120.0
2009-06-01,123.5
2009-07-01,125.8
2009-08-01,124.7
2009-09-01,119.8
2009-10-01,121.4
2009-11-01,118.8
2009-12-01,116.7
2010-01-01,118.6
2010-02-01,119.7
2010-03-01,119.5
2010-04-01,119.3
2010-05-01,120.0
2010-06-01,121.0
2010-07-01,121.3
2010-08-01,120.3
2010-09-01,118.8
2010-10-01,119.9
2010-11-01,120.0
2010-12-01,118.0
2011-01-01,118.1
2011-02-01,120.2
2011-03-01,121.8
2011-04-01,120.9
2011-05-01,121.7
2011-06-01,121.1
2011-07-01,122.7
2011-08-01,122.5
2011-09-01,123.3
2011-10-01,124.4
2011-11-01,123.5
2011-12-01,121.8
2012-01-01,120.9
2012-02-01,123.6
2012-03-01,128.7
2012-04-01,126.9
2012-05-01,125.5
2012-06-01,126.9
2012-07-01,128.6
2012-08-01,128.1
2012-09-01,127.3
2012-10-01,127.9
2012-11-01,123.3
2012-12-01,120.3
2013-01-01,120.4
2013-02-01,125.0
2013-03-01,130.0
2013-04-01,127.6
2013-05-01,128.0
2013-06-01,131.1
2013-07-01,134.7
2013-08-01,131.8
2013-09-01,130.9
2013-10-01,129.6
2013-11-01,126.1
2013-12-01,123.0
2014-01-01,125.6
2014-02-01,129.9
2014-03-01,132.2
2014-04-01,132.5
2014-05-01,133.4
2014-06-01,135.6
2014-07-01,137.4
2014-08-01,139.4
2014-09-01,135.5
2014-10-01,138.5
2014-11-01,131.5
2014-12-01,129.1
2015-01-01,129.4
2015-02-01,134.8
2015-03-01,138.0
2015-04-01,135.6
2015-05-01,136.3
2015-06-01,139.6
2015-07-01,145.3
2015-08-01,141.6
2015-09-01,137.1
2015-10-01,139.1
2015-11-01,131.2
2015-12-01,131.1
2016-01-01,132.1
2016-02-01,135.0
2016-03-01,140.5
2016-04-01,137.6
2016-05-01,138.5
2016-06-01,145.4
2016-07-01,148.9
2016-08-01,146.3
2016-09-01,140.6
2016-10-01,142.8
2016-11-01,133.5
2016-12-01,132.9
2017-01-01,132.6
2017-02-01,137.7
2017-03-01,141.7
2017-04-01,142.4
2017-05-01,142.0
2017-06-01,146.8
2017-07-01,153.4
2017-08-01,146.6
2017-09-01,142.7
2017-10-01,144.9
2017-11-01,138.5
2017-12-01,135.6
2018-01-01,138.4
2018-02-01,147.2
2018-03-01,152.3
2018-04-01,143.2
2018-05-01,144.4
2018-06-01,149.1
2018-07-01,156.2
2018-08-01,153.6
2018-09-01,147.1
2018-10-01,150.1
2018-11-01,144.4
2018-12-01,142.6
2019-01-01,142.0
2019-02-01,151.3
2019-03-01,153.1
2019-04-01,149.6
2019-05-01,153.4
2019-06-01,155.8
2019-07-01,159.1
2019-08-01,156.9
2019-09-01,151.4
2019-10-01,152.7
2019-11-01,146.5
2019-12-01,145.4
2020-01-01,146.4
2020-02-01,142.6
2020-03-01,143.7
2020-04-01,125.2
2020-05-01,126.4
2020-06-01,127.8
2020-07-01,130.1
2020-08-01,128.9
2020-09-01,127.8
2020-10-01,129.6
2020-11-01,125.7
2020-12-01,127.4
2021-01-01,132.1
2021-02-01,133.6
2021-03-01,134.8
2021-04-01,134.7
2021-05-01,135.3
2021-06-01,143.2
2021-07-01,153.365
2021-08-01,152.340
2021-09-01,146.899
2021-10-01,147.623
2021-11-01,148.361
2021-12-01,155.229
2022-01-01,152.252
2022-02-01,154.947
2022-03-01,173.270
2022-04-01,165.921
2022-05-01,162.905
2022-06-01,175.541
2022-07-01,177.998
2022-08-01,169.885
2022-09-01,163.426
2022-10-01,169.568
2022-11-01,168.199
2022-12-01,168.524
2023-01-01,165.956
2023-02-01,168.712
2023-03-01,176.417
2023-04-01,176.212
